year,東成区,生野区,旭区,城東区,鶴見区,住之江区,住吉区,東住吉区,平野区,東淀川区,阿倍野区,淀川区,西成区,浪速区,大阪市,北区,都島区,福島区,此花区,西淀川区,西区,港区,大正区,天王寺区,中央区
1997,32745,58674,43946,64865,36399,53287,70907,58849,77884,85718,43562,74947,74115,26817,1117259,40890,41962,23264,27277,36254,26671,37129,30670,24272,26155
1998,33380,58854,43989,66046,37204,53745,71227,59179,79138,86477,44272,75917,74347,27906,1131037,42222,42441,23715,27077,37153,27138,37400,30771,24802,26637
1999,33803,59218,44077,66922,37893,53904,71310,59589,79868,87254,44538,77242,74354,28419,1142970,44093,42378,24108,27058,37578,28271,37618,30682,25345,27448
2000,34064,59272,44304,67450,38512,54120,71640,60055,80413,87670,44962,79049,74725,29028,1156867,46139,42881,24620,27066,38194,29555,37693,30823,26249,28383
2001,34342,59742,44219,68401,39313,54367,72209,60197,81142,88241,45579,80322,75541,29950,1172259,47511,43339,25410,27153,38729,31032,37852,30856,27036,29776
2002,34760,59888,44052,69271,40015,54471,72676,60437,82073,89005,46222,82145,77227,31175,1190959,48804,44256,26103,27377,39259,33259,37910,30799,27636,32139
2003,35163,60386,44005,69608,40378,54692,72823,60486,82377,89292,46746,83300,78331,32126,1205772,50381,44900,27086,27507,39758,35489,37800,30764,28376,33998
2004,35740,60961,43798,70263,41353,54558,72997,60501,82817,89041,46929,84168,79297,32968,1220884,52053,45459,27976,27859,40224,37916,37673,31156,29048,36129
2005,36070,61302,43631,70829,42232,55128,72965,60105,83228,89134,47451,84310,78957,33446,1232982,53255,46278,28824,27814,40552,40228,37461,30925,30221,38636
2006,36464,61585,43445,71584,42728,55019,73047,60218,84079,89399,47620,85511,78435,34835,1248036,55804,46540,29875,27934,40910,42047,37837,30993,31227,40900
2007,36961,61781,43679,72662,43057,55541,73113,60437,84673,90051,48043,86668,77366,36416,1262936,57817,47376,30371,28290,41639,43175,38684,30972,31483,42681
2008,37307,62041,43834,73917,44064,55794,73176,60490,85189,90867,48464,87386,74233,38147,1275646,59307,48438,31407,28556,42105,44335,39347,30884,32188,44170
2009,37772,62186,43781,75050,44721,55845,73370,60310,85785,91447,48810,89043,74465,39671,1292153,61483,48929,32513,28862,42671,45778,39972,30803,33263,45623
2010,38409,62644,43725,75642,45066,56311,73666,60111,86193,91616,49007,90400,74648,41248,1307922,63416,49689,33568,29322,43436,46367,40579,30691,34344,47824
2011,38780,62811,43775,75752,45175,56546,73680,59744,86634,91562,49267,90922,73961,42687,1316626,65396,50066,34430,29517,43401,47302,40633,30424,34783,49378
2012,39108,62979,43652,75868,45445,56570,73274,59193,87073,92011,49462,91310,73359,43390,1324178,66998,50267,35324,29852,43300,48226,40539,30183,35558,51237
2013,39297,63100,43679,75699,45661,56866,72745,58637,87586,92203,49601,92096,72586,44511,1330970,68472,50745,36080,30072,43196,49003,40221,29833,36354,52727
2014,39447,63124,43579,75413,45833,56880,72045,58269,87967,92083,50002,92669,71424,45637,1336882,70330,50937,36783,30323,42941,49753,40081,29578,36979,54805
2015,39392,63370,43598,75888,46013,56834,71689,57879,88566,92096,50074,93260,70078,46478,1344580,72506,51202,37046,30520,42777,50806,40278,29360,37555,57315
2016,39713,63590,43573,76760,46390,56979,71506,57827,89085,92865,50321,94580,68968,48172,1358464,74812,51743,37664,30752,42942,52708,40349,29146,38460,59559
