,area,total,-15,15-64,65-,-15(%),15-64(%),65-(%),year
0,大阪市,2602421.0,351859.0,1878744.0,365883.0,13.52044884359602,72.19216260551234,14.059331676158468,1995
1,北区                      ,85487.0,9856.0,62766.0,12853.0,11.529238363727819,73.42168984757916,15.035034566659258,1995
2,都島区                    ,98045.0,14167.0,71667.0,12154.0,14.449487480238666,73.09602733438727,12.39634861543169,1995
3,福島区                    ,55104.0,7106.0,39242.0,8739.0,12.89561556329849,71.21443089430895,15.859102787456447,1995
4,此花区                    ,68529.0,9811.0,49355.0,9355.0,14.316566708984519,72.02060441564885,13.651154985480598,1995
5,中央区                    ,52874.0,5337.0,38210.0,9304.0,10.093807920717177,72.2661421492605,17.596550289367173,1995
6,西区                      ,58674.0,7634.0,43447.0,7563.0,13.010873640794902,74.04813034734295,12.88986603947234,1995
7,港区                      ,89527.0,12188.0,65675.0,11474.0,13.613770147553254,73.35775799479487,12.816245378489171,1995
8,大正区                    ,78372.0,11266.0,56810.0,10270.0,14.375031899147656,72.48762313070995,13.104169856581432,1995
9,天王寺区                  ,55611.0,8019.0,39271.0,8278.0,14.419809030587475,70.61732391073708,14.88554422686159,1995
10,浪速区                    ,49122.0,4729.0,36414.0,7221.0,9.627051015838116,74.12971784536461,14.700134359350189,1995
11,西淀川区                  ,91134.0,13259.0,65306.0,12429.0,14.548906006539822,71.6593148550486,13.638159194153666,1995
12,淀川区                    ,162022.0,20172.0,120907.0,20121.0,12.450161089234795,74.62381651874436,12.418683882435719,1995
13,東淀川区                  ,185931.0,26157.0,138728.0,20161.0,14.068122045274862,74.61262511361741,10.84326981514648,1995
14,東成区                    ,78736.0,10053.0,55241.0,13277.0,12.767984149563096,70.15977443609023,16.862680349522456,1995
15,生野区                    ,149271.0,20101.0,103420.0,25109.0,13.466111970844974,69.28338391248133,16.82108380060427,1995
16,旭区                      ,102500.0,12640.0,72788.0,16952.0,12.331707317073171,71.01268292682927,16.538536585365854,1995
17,城東区                    ,155597.0,21020.0,112870.0,21424.0,13.509257890576295,72.53995899663876,13.768902999415156,1995
18,鶴見区                    ,97843.0,16590.0,70587.0,10555.0,16.955735208446185,72.14312725488793,10.787690483734146,1995
19,阿倍野区                  ,102753.0,12753.0,70733.0,18564.0,12.411316457913637,68.83789281091549,18.06662579194768,1995
20,住之江区                  ,138944.0,23962.0,99192.0,15580.0,17.245796867802856,71.38991248272686,11.213150621833258,1995
21,住吉区                    ,162493.0,22415.0,116903.0,23163.0,13.794440375893116,71.94340679290801,14.254767897694054,1995
22,東住吉区                  ,141447.0,18505.0,99480.0,23085.0,13.082638726872965,70.33022969734247,16.32060064900634,1995
23,平野区                    ,200556.0,30335.0,146933.0,23067.0,15.125451245537405,73.26282933445023,11.501525758391672,1995
24,西成区                    ,141849.0,13784.0,102799.0,25185.0,9.71737551903785,72.47072591276638,17.754795592496244,1995
25,北,91952.0,9029.0,67886.0,14734.0,9.819253523577519,73.82764920828258,16.023577518705412,2000
26,都島,97253.0,12390.0,70059.0,14780.0,12.739966890481528,72.0378805795194,15.19747462803204,2000
27,福島,55733.0,6556.0,39010.0,10143.0,11.76322824897278,69.99443776577611,18.199271526743583,2000
28,此花,65037.0,8865.0,44748.0,11408.0,13.630702523179114,68.80391161953965,17.540784476528746,2000
29,中央,55324.0,4810.0,40242.0,10253.0,8.694237582242788,72.73877521509652,18.532644060443932,2000
30,西,63402.0,7276.0,47070.0,8876.0,11.475978675751554,74.24056023469291,13.999558373552883,2000
