,定期（人）,定期外（人）,総数（人）,定期（円）,定期外（円）,総数（円）
1997,90927,214906,305833,9939363,37647427,47586790
1998,90629,208679,299308,9948229,37104510,47052739
1999,86154,204299,290453,9457764,36031376,45489140
2000,82604,200045,282649,9020265,34971847,43992112
2001,78135,196588,274723,8531298,34149742,42681040
2002,73558,191374,264932,8003630,32792303,40795933
2003,70039,182946,252985,7612868,31174087,38786955
2004,67871,169824,237695,7359814,28858070,36217884
2005,67153,158126,225279,7256462,26764827,34021289
2006,64272,150452,214724,6949946,25102440,32052386
2007,61937,138213,200150,6693249,22727300,29420549
2008,56253,128134,184387,5998773,20732531,26731304
2009,48546,183043,231589,5162357,31168212,36330569
2010,43770,178594,222364,4660560,30138485,34799045
2011,40852,178548,219400,4366872,30436403,34803275
2012,38552,177665,216217,4140679,30742147,34882826
2013,37539,171767,209306,4037680,30316940,34354620
2014,37202,162139,199341,4025391,29426165,33451556
2015,36676,167165,203841,3976261,30115151,34091412
2016,36014,171810,207824,3911967,30837102,34749069
