,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
1997,945839,2591.0,549522,186374,363148,180320,43376,132292,4652,2835,18416,5833,20384,160238,90.0,8291,2501.0
1998,931917,2633.0,548197,195662,352535,169856,41913,123384,4559,2740,19033,5791,20222,157838,91.0,8240,2542.0
1999,921544,2748.0,543083,203759,339324,163018,39669,118858,4491,2683,19295,5711,20154,159341,95.0,8259,2653.0
2000,917210,2789.0,539770,210901,328869,158380,39142,114631,4607,2637,19560,5669,20426,162574,101.0,8194,2688.0
2001,913052,2753.0,537677,216334,321343,153369,38250,110497,4622,2479,19813,5604,20827,165220,88.0,8063,2665.0
2002,905738,2736.0,533935,218448,315487,147711,37034,106034,4643,2454,19426,5522,20964,167685,54.0,8041,2682.0
2003,900212,2743.0,530308,221585,308723,142416,35786,101924,4706,2473,18869,5488,21041,171701,35.0,7916,2708.0
2004,899539,2736.0,529975,225894,304081,137609,34714,97960,4935,2467,17996,5449,21322,176946,26.0,7775,2710.0
2005,897431,2771.0,528491,228242,300249,131058,32430,93558,5070,2420,17333,5429,21769,183207,22.0,7724,2749.0
2006,890261,2761.0,521956,227480,294476,126297,30737,90331,5229,2276,16668,5417,21561,188433,16.0,7653,2745.0
2007,878268,2863.0,508283,229573,278710,125027,30826,88836,5365,2277,16271,5404,21697,191667,15.0,7642,2848.0
2008,863396,2868.0,498570,228472,270098,120348,31474,83334,5540,2220,15226,5381,21380,192770,15.0,7501,2853.0
2009,848705,2956.0,487518,223916,263602,116947,30977,80570,5400,2171,15358,5397,21193,192737,52.0,7384,2904.0
2010,839638,2944.0,482203,225228,256975,114317,30635,78236,5446,2071,15096,5315,21106,192173,52.0,7357,2892.0
2011,834729,2990.0,480418,227746,252672,112385,30335,76516,5534,2143,15220,5294,20679,191418,92.0,7172,2898.0
2012,835576,3110.0,478560,230215,248345,110288,30128,74634,5526,2070,15387,5295,22742,194300,200.0,6934,2910.0
2013,838591,3146.0,477502,234207,243295,109766,30440,73678,5648,1998,15642,5308,22837,198708,209.0,6830,2937.0
2014,842716,3268.0,475085,235892,239193,109121,30950,72530,5641,1994,15949,5299,22188,206212,222.0,6868,3046.0
2015,841066,3341.0,475260,239448,235812,108659,31281,71610,5768,2072,16370,5290,22822,203718,215.0,6875,3126.0
2016,845427,3366.0,477819,244678,233141,108409,31530,70967,5912,2146,16755,5270,22805,205382,206.0,6841,3160.0
