,year,area,台数,車種
0,2001,東住吉,24.0,バス
1,2001,西,327.0,被けん引貨物
2,2001,旭,10366.0,小型乗用車
3,2001,淀川,815.0,特種用途車
4,2001,浪速,832.0,特種用途車
5,2001,北,652.0,特種用途車
6,2001,西淀川,1279.0,特種用途車
7,2001,福島,556.0,特種用途車
8,2001,東淀川,21169.0,小型乗用車
9,2001,都島,9879.0,小型乗用車
10,2001,淀川,22447.0,小型乗用車
11,2001,此花,1181.0,特種用途車
12,2001,大正,797.0,特種用途車
13,2001,港,971.0,大型特種
14,2001,中央,210.0,小型特殊自動車
15,2001,住吉,12465.0,普通乗用車
16,2001,浪速,5954.0,小型乗用車
17,2001,平野,18947.0,普通乗用車
18,2001,住之江,2227.0,被けん引貨物
19,2001,阿倍野,7907.0,普通乗用車
20,2001,北,9760.0,普通乗用車
21,2001,浪速,4608.0,普通乗用車
22,2001,旭,6895.0,普通乗用車
23,2001,淀川,51.0,被けん引貨物
24,2001,鶴見,9416.0,普通乗用車
25,2001,旭,358.0,特種用途車
26,2001,東成,32.0,被けん引貨物
27,2001,生野,4.0,被けん引貨物
28,2001,城東,32.0,被けん引貨物
29,2001,鶴見,39.0,被けん引貨物
30,2001,阿倍野,2.0,被けん引貨物
31,2001,住吉,18.0,被けん引貨物
32,2001,平野,37.0,被けん引貨物
33,2001,西成,89.0,被けん引貨物
34,2001,東淀川,15.0,被けん引貨物
35,2001,城東,11714.0,普通乗用車
36,2001,此花,132.0,小型特殊自動車
37,2001,西成,6864.0,普通乗用車
38,2001,生野,10253.0,普通乗用車
39,2001,西成,20.0,電気小型特殊自動車
40,2001,平野,105.0,電気小型特殊自動車
41,2001,城東,78.0,電気小型特殊自動車
42,2001,生野,117.0,電気小型特殊自動車
43,2001,東淀川,72.0,電気小型特殊自動車
44,2001,港,76.0,電気小型特殊自動車
45,2001,淀川,69.0,電気小型特殊自動車
46,2001,旭,22.0,電気小型特殊自動車
47,2001,浪速,42.0,電気小型特殊自動車
48,2001,北,88.0,電気小型特殊自動車
49,2001,西淀川,73.0,電気小型特殊自動車
50,2001,福島,922.0,電気小型特殊自動車
51,2001,此花,3.0,電気小型特殊自動車
52,2001,天王寺,173.0,特種用途車
53,2001,港,967.0,特種用途車
54,2001,東住吉,309.0,電気小型特殊自動車
