,バス,乗用車総数,地域,大型特種,小型乗用車,小型二輪,小型特殊自動車,小型貨物,年度,普通乗用車,普通車貨物,特種用途車,自動車総数,被けん引貨物,貨物自動車総数,軽自動車,電気小型特殊自動車,電気小型自動車,電気自動車総数
0,24,28058,東住吉,123,16464,1080.0,614,4803,2001,11594,1502,1026.0,46972,26,6331,9716,309.0,4.0,313.0
1,78,17260,西成,104,10396,660.0,197,3495,2001,6864,1694,892.0,31254,89,5278,6785,20.0,29.0,49.0
2,178,47112,平野,98,28165,1405.0,506,7630,2001,18947,2521,1323.0,77165,37,10188,16355,105.0,1.0,106.0
3,144,30245,住吉,454,17780,1079.0,83,3254,2001,12465,724,506.0,45345,18,3996,8838,7.0,1.0,8.0
4,197,29176,住之江,946,17821,855.0,319,4450,2001,11355,4093,2119.0,52609,2227,10770,8227,144.0,4.0,148.0
5,25,17570,阿倍野,19,9663,722.0,84,2063,2001,7907,359,305.0,25624,2,2424,4475,8.0,1.0,9.0
6,76,23286,鶴見,166,13870,830.0,286,3652,2001,9416,2550,836.0,38387,39,6241,6666,72.0,1.0,73.0
7,126,30155,城東,220,18441,1493.0,324,4746,2001,11714,1369,1240.0,48170,32,6147,8465,78.0,1.0,79.0
8,65,25588,生野,107,15335,940.0,560,4805,2001,10253,1215,690.0,44144,4,6024,10170,117.0,2.0,119.0
9,113,15031,東成,58,8803,577.0,382,3596,2001,6228,979,446.0,26229,32,4607,5015,103.0,3.0,106.0
10,213,34642,東淀川,209,21169,1817.0,181,4776,2001,13473,1687,1177.0,55004,15,6478,10287,72.0,3.0,75.0
11,81,36019,淀川,37,22447,1473.0,258,7957,2001,13572,1419,815.0,57294,51,9427,9184,69.0,2.0,71.0
12,36,17261,旭,40,10366,824.0,93,2372,2001,6895,574,358.0,26961,6,2952,5397,22.0,2.0,24.0
13,13,10562,浪速,202,5954,407.0,267,3887,2001,4608,964,832.0,21714,15,4866,4565,42.0,1.0,43.0
14,191,25122,北,159,15362,859.0,348,9108,2001,9760,1425,652.0,44823,76,10609,6883,88.0,6.0,94.0
15,117,20938,西淀川,407,12460,785.0,386,4691,2001,8478,3329,1279.0,38077,191,8211,5954,73.0,3.0,76.0
16,34,11532,福島,83,6701,451.0,1604,3901,2001,4831,1264,556.0,23340,38,5203,3877,922.0,1.0,923.0
17,207,12802,此花,307,7612,521.0,132,2611,2001,5190,2231,1181.0,24428,246,5088,4190,3.0,3.0,6.0
18,50,27170,中央,178,16942,964.0,210,8969,2001,10228,677,651.0,44942,12,9658,6061,79.0,2.0,81.0
19,21,17110,都島,68,9879,741.0,147,2967,2001,7231,867,432.0,26880,3,3837,4524,57.0,2.0,59.0
20,326,15141,港,971,8875,709.0,288,3303,2001,6266,2129,967.0,29765,601,6033,5330,76.0,1.0,77.0
21,112,15175,大正,349,9122,557.0,202,3116,2001,6053,2773,797.0,29222,535,6424,5606,25.0,1.0,26.0
22,18,11792,天王寺,31,6444,479.0,133,2666,2001,5348,327,173.0,18957,0,2993,3338,47.0,3.0,50.0
23,34,18930,西,268,11272,599.0,459,7679,2001,7658,1578,560.0,35746,327,9584,5312,127.0,11.0,138.0
