,total,teiki,non_teiki,year
0,1728943.0,1002266.0,726677.0,2001
1,1679752.0,967028.0,712724.0,2002
2,1652034.0,945826.0,706208.0,2003
3,1615766.0,921262.0,694504.0,2004
4,1586831.0,897529.0,689302.0,2005
5,1586690.0,874987.0,711703.0,2006
6,1554657.0,860260.0,694397.0,2007
7,1561881.0,848576.0,713305.0,2008
8,1546605.0,833506.0,713099.0,2009
9,1514291.7808219178,795789.389041096,718502.3917808218,2010
10,1506260.0,786880.0,719381.0,2011
11,1509471.0,779634.0,729838.0,2012
12,1540868.0,792589.0,748279.0,2013
13,1532796.0,789508.0,743289.0,2014
14,1571360.0,800575.0,770785.0,2015
15,1582576.0,803911.0,778665.0,2016
