,area,amount,name,year
0,西成,2380112,total,2001
1,住之江,1638429,個人特別徴収,2001
2,住吉,2277655,個人特別徴収,2001
3,東住吉,1893535,個人特別徴収,2001
4,平野,1672517,個人特別徴収,2001
5,西成,992044,個人特別徴収,2001
6,北,2523217,個人普通徴収,2001
7,阿倍野,1309275,個人特別徴収,2001
8,都島,1999140,個人普通徴収,2001
9,此花,827672,個人普通徴収,2001
10,中央,2737816,個人普通徴収,2001
11,西,1584323,個人普通徴収,2001
12,港,1201176,個人普通徴収,2001
13,大正,919769,個人普通徴収,2001
14,天王寺,2127016,個人普通徴収,2001
15,福島,1063874,個人普通徴収,2001
16,鶴見,892412,個人特別徴収,2001
17,城東,1595139,個人特別徴収,2001
18,旭,2648035,個人特別徴収,2001
19,北,13658549,個人特別徴収,2001
20,都島,1865713,個人特別徴収,2001
21,福島,1742265,個人特別徴収,2001
22,此花,849869,個人特別徴収,2001
23,中央,14236266,個人特別徴収,2001
24,西,4650522,個人特別徴収,2001
25,港,1363498,個人特別徴収,2001
26,大正,905530,個人特別徴収,2001
27,天王寺,4391463,個人特別徴収,2001
28,浪速,1697175,個人特別徴収,2001
29,西淀川,2949125,個人特別徴収,2001
30,淀川,5933107,個人特別徴収,2001
31,東淀川,1176495,個人特別徴収,2001
32,東成,1355784,個人特別徴収,2001
33,生野,1496685,個人特別徴収,2001
34,浪速,1009508,個人普通徴収,2001
35,西淀川,1163051,個人普通徴収,2001
36,平野,5311212,total,2001
37,東淀川,2812416,個人普通徴収,2001
38,天王寺,6518479,total,2001
39,浪速,2706683,total,2001
40,西淀川,4112176,total,2001
41,淀川,8937144,total,2001
42,東淀川,3988911,total,2001
43,東成,2834836,total,2001
44,大正,1825299,total,2001
45,生野,3911081,total,2001
46,城東,4111120,total,2001
47,鶴見,2692455,total,2001
48,阿倍野,4593625,total,2001
49,住之江,3446847,total,2001
50,住吉,5564439,total,2001
51,東住吉,4358255,total,2001
52,旭,4413861,total,2001
53,港,2564674,total,2001
54,淀川,3004037,個人普通徴収,2001
55,中央,16974082,total,2001
56,東成,1479052,個人普通徴収,2001
57,生野,2414396,個人普通徴収,2001
58,旭,1765826,個人普通徴収,2001
59,城東,2515981,個人普通徴収,2001
60,西,6234845,total,2001
61,阿倍野,3284350,個人普通徴収,2001
62,住之江,1808418,個人普通徴収,2001
63,鶴見,1800043,個人普通徴収,2001
64,東住吉,2464720,個人普通徴収,2001
65,平野,3638695,個人普通徴収,2001
66,西成,1388068,個人普通徴収,2001
67,北,16181766,total,2001
68,都島,3864853,total,2001
69,福島,2806139,total,2001
70,此花,1677541,total,2001
71,住吉,3286784,個人普通徴収,2001
72,住之江,1643389,個人特別徴収,2002
73,住吉,2230177,個人特別徴収,2002
74,東住吉,1886676,個人特別徴収,2002
75,平野,1617948,個人特別徴収,2002
76,西成,949933,個人特別徴収,2002
77,北,2691945,個人普通徴収,2002
78,天王寺,2203380,個人普通徴収,2002
79,福島,1110193,個人普通徴収,2002
80,此花,780925,個人普通徴収,2002
81,中央,2743489,個人普通徴収,2002
82,西,1600957,個人普通徴収,2002
83,港,1173560,個人普通徴収,2002
84,大正,910405,個人普通徴収,2002
85,阿倍野,1292436,個人特別徴収,2002
86,都島,1993921,個人普通徴収,2002
87,鶴見,834164,個人特別徴収,2002
88,天王寺,4166311,個人特別徴収,2002
89,旭,2583664,個人特別徴収,2002
90,浪速,1017528,個人普通徴収,2002
91,北,13562931,個人特別徴収,2002
92,都島,1664198,個人特別徴収,2002
93,福島,1650676,個人特別徴収,2002
94,此花,795334,個人特別徴収,2002
95,中央,14156541,個人特別徴収,2002
96,西,4618990,個人特別徴収,2002
97,港,1286609,個人特別徴収,2002
98,大正,845421,個人特別徴収,2002
99,浪速,1621272,個人特別徴収,2002
100,西淀川,2834068,個人特別徴収,2002
101,淀川,5710876,個人特別徴収,2002
102,東淀川,1151863,個人特別徴収,2002
103,東成,1313747,個人特別徴収,2002
104,生野,1416584,個人特別徴収,2002
105,城東,1528710,個人特別徴収,2002
106,西淀川,1156881,個人普通徴収,2002
107,淀川,3053388,個人普通徴収,2002
108,東淀川,2801650,個人普通徴収,2002
109,天王寺,6369691,total,2002
110,浪速,2638800,total,2002
111,西淀川,3990949,total,2002
112,淀川,8764264,total,2002
113,東淀川,3953513,total,2002
114,東成,2713268,total,2002
115,生野,3743269,total,2002
116,旭,4316351,total,2002
117,城東,4098990,total,2002
118,鶴見,2517916,total,2002
119,阿倍野,4508655,total,2002
120,住之江,3429591,total,2002
121,住吉,5464969,total,2002
122,東住吉,4340891,total,2002
123,平野,5120967,total,2002
124,大正,1755826,total,2002
125,港,2460169,total,2002
126,西成,2346849,total,2002
127,中央,16900030,total,2002
128,東成,1399521,個人普通徴収,2002
129,生野,2326685,個人普通徴収,2002
130,旭,1732687,個人普通徴収,2002
131,城東,2570280,個人普通徴収,2002
132,西,6219947,total,2002
133,阿倍野,3216219,個人普通徴収,2002
134,住之江,1786202,個人普通徴収,2002
135,鶴見,1683752,個人普通徴収,2002
136,東住吉,2454215,個人普通徴収,2002
137,平野,3503019,個人普通徴収,2002
138,西成,1396916,個人普通徴収,2002
139,北,16254876,total,2002
140,都島,3658119,total,2002
141,福島,2760869,total,2002
142,此花,1576259,total,2002
143,住吉,3234792,個人普通徴収,2002
144,住之江,1549317,個人特別徴収,2003
145,住吉,2126608,個人特別徴収,2003
146,東住吉,1771893,個人特別徴収,2003
147,平野,1506886,個人特別徴収,2003
148,西成,897412,個人特別徴収,2003
149,北,2694263,個人普通徴収,2003
