,area,total,men,women,household,date,date1,year
25,東成区,78121,37455,40666,32745,1997-03-01,03-01,1997
26,生野区,147314,70422,76892,58674,1997-03-01,03-01,1997
27,旭区,102010,49310,52700,43946,1997-03-01,03-01,1997
28,城東区,155627,75311,80316,64865,1997-03-01,03-01,1997
29,鶴見区,98761,48669,50092,36399,1997-03-01,03-01,1997
30,住之江区,138931,67601,71330,53287,1997-03-01,03-01,1997
31,住吉区,162756,77807,84949,70907,1997-03-01,03-01,1997
32,東住吉区,140980,67472,73508,58849,1997-03-01,03-01,1997
33,平野区,200866,97564,103302,77884,1997-03-01,03-01,1997
34,東淀川区,185205,92960,92245,85718,1997-03-01,03-01,1997
35,阿倍野区,102509,47881,54628,43562,1997-03-01,03-01,1997
36,淀川区,161444,80632,80812,74947,1997-03-01,03-01,1997
37,西成区,140170,79254,60916,74115,1997-03-01,03-01,1997
38,浪速区,49053,25099,23954,26817,1997-03-01,03-01,1997
39,大阪市,2596023,1274144,1321879,1117259,1997-03-01,03-01,1997
40,北区,86701,41539,45162,40890,1997-03-01,03-01,1997
41,都島区,97909,48014,49895,41962,1997-03-01,03-01,1997
42,福島区,54665,26184,28481,23264,1997-03-01,03-01,1997
43,此花区,67495,33756,33739,27277,1997-03-01,03-01,1997
44,西淀川区,90744,45341,45403,36254,1997-03-01,03-01,1997
45,西区,59326,28343,30983,26671,1997-03-01,03-01,1997
46,港区,89015,44285,44730,37129,1997-03-01,03-01,1997
47,大正区,77353,38728,38625,30670,1997-03-01,03-01,1997
48,天王寺区,56047,26080,29967,24272,1997-03-01,03-01,1997
49,中央区,53021,24437,28584,26155,1997-03-01,03-01,1997
50,生野区,145833,69675,76158,58854,1998-03-01,03-01,1998
51,旭区,101048,48831,52217,43989,1998-03-01,03-01,1998
52,城東区,156602,75681,80921,66046,1998-03-01,03-01,1998
53,鶴見区,99517,48979,50538,37204,1998-03-01,03-01,1998
54,阿倍野区,103082,48066,55016,44272,1998-03-01,03-01,1998
55,住吉区,162108,77337,84771,71227,1998-03-01,03-01,1998
56,東住吉区,140245,67035,73210,59179,1998-03-01,03-01,1998
57,平野区,201296,97637,103659,79138,1998-03-01,03-01,1998
58,西成区,138957,78868,60089,74347,1998-03-01,03-01,1998
59,東成区,78340,37578,40762,33380,1998-03-01,03-01,1998
