,area,total,men,women,household,date,date1,year
125,生野,142311,67896,74415,59742,2001-03-01,03-01,2001
126,旭,98809,47674,51135,44219,2001-03-01,03-01,2001
127,城東,157885,75995,81890,68401,2001-03-01,03-01,2001
128,鶴見,102687,50318,52369,39313,2001-03-01,03-01,2001
129,阿倍野,104201,48377,55824,45579,2001-03-01,03-01,2001
130,住吉,160912,76301,84611,72209,2001-03-01,03-01,2001
131,東住吉,139006,66198,72808,60197,2001-03-01,03-01,2001
132,平野,201807,97436,104371,81142,2001-03-01,03-01,2001
133,西成,136648,78487,58161,75541,2001-03-01,03-01,2001
134,東成,78582,37709,40873,34342,2001-03-01,03-01,2001
135,住之江,135205,65604,69601,54367,2001-03-01,03-01,2001
136,東淀川,183201,91401,91800,88241,2001-03-01,03-01,2001
137,淀川,163303,81509,81794,80322,2001-03-01,03-01,2001
138,西淀川,92659,46211,46448,38729,2001-03-01,03-01,2001
139,北,92266,44586,47680,47511,2001-03-01,03-01,2001
140,都島,97401,47768,49633,43339,2001-03-01,03-01,2001
141,福島,56115,26700,29415,25410,2001-03-01,03-01,2001
142,此花,64914,32069,32845,27153,2001-03-01,03-01,2001
143,中央,55744,25833,29911,29776,2001-03-01,03-01,2001
144,大阪市,2598864,1272586,1326278,1172259,2001-03-01,03-01,2001
145,港,87000,42957,44043,37852,2001-03-01,03-01,2001
146,大正,74779,37253,37526,30856,2001-03-01,03-01,2001
147,天王寺,59019,27698,31321,27036,2001-03-01,03-01,2001
148,浪速,50485,26221,24264,29950,2001-03-01,03-01,2001
149,西,63925,30385,33540,31032,2001-03-01,03-01,2001
150,生野,141092,67318,73774,59888,2002-03-01,03-01,2002
151,旭,98226,47299,50927,44052,2002-03-01,03-01,2002
152,城東,158602,76238,82364,69271,2002-03-01,03-01,2002
153,鶴見,103729,50690,53039,40015,2002-03-01,03-01,2002
154,阿倍野,105041,48780,56261,46222,2002-03-01,03-01,2002
155,住吉,160842,76139,84703,72676,2002-03-01,03-01,2002
