,year,area,type,amount,kind
0,2009,総数,国内事業,208289,事業所
1,2009,北,国内事業,28321,事業所
2,2009,都島,国内事業,5992,事業所
3,2009,福島,国内事業,5667,事業所
4,2009,此花,国内事業,3108,事業所
5,2009,中央,国内事業,33790,事業所
6,2009,西,国内事業,12914,事業所
7,2009,港,国内事業,4876,事業所
8,2009,大正,国内事業,4004,事業所
9,2009,天王寺,国内事業,6858,事業所
10,2009,浪速,国内事業,6213,事業所
11,2009,西淀川,国内事業,4728,事業所
12,2009,淀川,国内事業,13242,事業所
13,2009,東淀川,国内事業,6299,事業所
14,2009,東成,国内事業,6070,事業所
15,2009,生野,国内事業,9791,事業所
16,2009,旭,国内事業,4260,事業所
17,2009,城東,国内事業,7141,事業所
18,2009,鶴見,国内事業,4591,事業所
19,2009,阿倍野,国内事業,5949,事業所
20,2009,住之江,国内事業,6073,事業所
21,2009,住吉,国内事業,6368,事業所
22,2009,東住吉,国内事業,6775,事業所
23,2009,平野,国内事業,8684,事業所
24,2009,西成,国内事業,6575,事業所
25,2009,総数,国内事業,2364216,従業員
26,2009,北,国内事業,439698,従業員
27,2009,都島,国内事業,50248,従業員
28,2009,福島,国内事業,63089,従業員
29,2009,此花,国内事業,43048,従業員
30,2009,中央,国内事業,552748,従業員
31,2009,西,国内事業,169806,従業員
32,2009,港,国内事業,45250,従業員
33,2009,大正,国内事業,34727,従業員
34,2009,天王寺,国内事業,68956,従業員
35,2009,浪速,国内事業,73862,従業員
36,2009,西淀川,国内事業,49544,従業員
37,2009,淀川,国内事業,157591,従業員
38,2009,東淀川,国内事業,57618,従業員
39,2009,東成,国内事業,44910,従業員
40,2009,生野,国内事業,55610,従業員
41,2009,旭,国内事業,28642,従業員
42,2009,城東,国内事業,57030,従業員
43,2009,鶴見,国内事業,40626,従業員
44,2009,阿倍野,国内事業,54095,従業員
45,2009,住之江,国内事業,72963,従業員
46,2009,住吉,国内事業,45113,従業員
47,2009,東住吉,国内事業,48281,従業員
48,2009,平野,国内事業,67114,従業員
49,2009,西成,国内事業,43647,従業員
50,2009,総数,海外事業,152,事業所
51,2009,北,海外事業,34,事業所
52,2009,都島,海外事業,0,事業所
53,2009,福島,海外事業,0,事業所
54,2009,此花,海外事業,0,事業所
55,2009,中央,海外事業,78,事業所
56,2009,西,海外事業,12,事業所
57,2009,港,海外事業,2,事業所
58,2009,大正,海外事業,0,事業所
59,2009,天王寺,海外事業,1,事業所
60,2009,浪速,海外事業,7,事業所
61,2009,西淀川,海外事業,0,事業所
62,2009,淀川,海外事業,11,事業所
63,2009,東淀川,海外事業,1,事業所
64,2009,東成,海外事業,1,事業所
65,2009,生野,海外事業,0,事業所
66,2009,旭,海外事業,0,事業所
67,2009,城東,海外事業,1,事業所
68,2009,鶴見,海外事業,0,事業所
69,2009,阿倍野,海外事業,1,事業所
70,2009,住之江,海外事業,2,事業所
71,2009,住吉,海外事業,0,事業所
72,2009,東住吉,海外事業,0,事業所
73,2009,平野,海外事業,1,事業所
74,2009,西成,海外事業,0,事業所
75,2009,総数,海外事業,2148,従業員
76,2009,北,海外事業,724,従業員
77,2009,都島,海外事業,0,従業員
78,2009,福島,海外事業,0,従業員
79,2009,此花,海外事業,0,従業員
80,2009,中央,海外事業,1164,従業員
81,2009,西,海外事業,72,従業員
82,2009,港,海外事業,10,従業員
83,2009,大正,海外事業,0,従業員
84,2009,天王寺,海外事業,3,従業員
85,2009,浪速,海外事業,50,従業員
86,2009,西淀川,海外事業,0,従業員
87,2009,淀川,海外事業,82,従業員
88,2009,東淀川,海外事業,1,従業員
89,2009,東成,海外事業,3,従業員
90,2009,生野,海外事業,0,従業員
91,2009,旭,海外事業,0,従業員
92,2009,城東,海外事業,1,従業員
93,2009,鶴見,海外事業,0,従業員
94,2009,阿倍野,海外事業,9,従業員
95,2009,住之江,海外事業,13,従業員
96,2009,住吉,海外事業,0,従業員
97,2009,東住吉,海外事業,0,従業員
98,2009,平野,海外事業,16,従業員
99,2009,西成,海外事業,0,従業員
100,2015,総数,国内事業,195789,事業所
101,2015,北,国内事業,28486,事業所
102,2015,都島,国内事業,5453,事業所
103,2015,福島,国内事業,5276,事業所
