,year,area,amount,kind
0,2009,総数,208441,事業所
1,2009,北,28355,事業所
2,2009,都島,5992,事業所
3,2009,福島,5667,事業所
4,2009,此花,3108,事業所
5,2009,中央,33868,事業所
6,2009,西,12926,事業所
7,2009,港,4878,事業所
8,2009,大正,4004,事業所
9,2009,天王寺,6859,事業所
10,2009,浪速,6220,事業所
11,2009,西淀川,4728,事業所
12,2009,淀川,13253,事業所
13,2009,東淀川,6300,事業所
14,2009,東成,6071,事業所
15,2009,生野,9791,事業所
16,2009,旭,4260,事業所
17,2009,城東,7142,事業所
18,2009,鶴見,4591,事業所
19,2009,阿倍野,5950,事業所
20,2009,住之江,6075,事業所
21,2009,住吉,6368,事業所
22,2009,東住吉,6775,事業所
23,2009,平野,8685,事業所
24,2009,西成,6575,事業所
25,2009,総数,2366364,従業員
26,2009,北,440422,従業員
27,2009,都島,50248,従業員
28,2009,福島,63089,従業員
29,2009,此花,43048,従業員
30,2009,中央,553912,従業員
31,2009,西,169878,従業員
32,2009,港,45260,従業員
33,2009,大正,34727,従業員
34,2009,天王寺,68959,従業員
35,2009,浪速,73912,従業員
36,2009,西淀川,49544,従業員
37,2009,淀川,157673,従業員
38,2009,東淀川,57619,従業員
39,2009,東成,44913,従業員
40,2009,生野,55610,従業員
41,2009,旭,28642,従業員
42,2009,城東,57031,従業員
43,2009,鶴見,40626,従業員
44,2009,阿倍野,54104,従業員
45,2009,住之江,72976,従業員
46,2009,住吉,45113,従業員
47,2009,東住吉,48281,従業員
48,2009,平野,67130,従業員
49,2009,西成,43647,従業員
50,2015,総数,195935,事業所
51,2015,北,28514,事業所
52,2015,都島,5454,事業所
53,2015,福島,5276,事業所
54,2015,此花,2834,事業所
55,2015,中央,34094,事業所
56,2015,西,11651,事業所
57,2015,港,4356,事業所
58,2015,大正,3538,事業所
59,2015,天王寺,6501,事業所
60,2015,浪速,5920,事業所
61,2015,西淀川,4530,事業所
62,2015,淀川,12630,事業所
63,2015,東淀川,5646,事業所
64,2015,東成,5124,事業所
65,2015,生野,8153,事業所
66,2015,旭,3805,事業所
67,2015,城東,6097,事業所
68,2015,鶴見,4148,事業所
69,2015,阿倍野,6152,事業所
70,2015,住之江,5654,事業所
71,2015,住吉,5735,事業所
72,2015,東住吉,6136,事業所
73,2015,平野,8135,事業所
74,2015,西成,5852,事業所
75,2015,総数,2317468,従業員
76,2015,北,458096,従業員
77,2015,都島,45876,従業員
78,2015,福島,63513,従業員
79,2015,此花,50302,従業員
80,2015,中央,525230,従業員
81,2015,西,157770,従業員
82,2015,港,43426,従業員
83,2015,大正,30231,従業員
84,2015,天王寺,66502,従業員
85,2015,浪速,71261,従業員
86,2015,西淀川,49461,従業員
87,2015,淀川,158469,従業員
88,2015,東淀川,51530,従業員
89,2015,東成,41432,従業員
90,2015,生野,50355,従業員
91,2015,旭,26107,従業員
92,2015,城東,54138,従業員
93,2015,鶴見,38048,従業員
94,2015,阿倍野,62708,従業員
95,2015,住之江,73056,従業員
96,2015,住吉,43218,従業員
97,2015,東住吉,46599,従業員
98,2015,平野,66872,従業員
99,2015,西成,43268,従業員
