,平  均,１  月,２  月,３  月,４  月,５  月,６  月,７  月,８  月,９  月,10  月,11  月,12  月
1997,121,106,122,139,108,104,116,158,123,122,97,110,145
1998,118,105,127,134,109,102,115,132,108,130,115,112,132
1999,100,87,113,128,104,73,106,104,100,111,73,91,116
2000,87,81,87,102,69,62,98,98,89,85,80,86,111
2001,93,84,95,98,75,72,97,104,97,93,84,114,106
2002,85,70,80,95,69,71,72,105,93,88,90,85,107
2003,90,71,89,105,82,69,90,99,96,95,91,87,109
2004,80,64,78,94,76,74,74,87,83,83,91,73,87
2005,67,50,68,80,53,45,54,78,71,64,63,66,101
2006,49,50,60,67,42,39,38,54,49,39,50,39,65
2007,36,29,37,44,26,25,33,43,44,34,41,30,42
2008,27,23,24,32,24,19,24,29,28,30,24,27,42
2009,38,35,41,42,27,25,33,49,38,32,39,32,58
2010,39,28,35,45,31,22,36,47,43,38,45,32,65
2011,41,34,42,46,32,27,34,44,51,49,33,38,60
2012,43,38,44,55,33,29,38,43,42,34,35,54,65
2013,38,31,42,51,29,25,36,35,36,31,30,44,62
2014,36,21,34,52,23,21,27,39,48,30,32,43,63
2015,42,27,34,46,33,25,41,59,54,41,42,35,63
2016,38,29,34,46,30,24,38,49,45,42,30,34,51
